Ticker,Price,Intrinsic Value,MOS Value,discount_percent,Discount,Upside,Rating,Signal,Quality,ROE,ROIC,FCF Yield,Growth Rate,Sector,recommendation_score,Score
AMGN,$336.74,$678.16,$542.53,50.345113861607,50.3%,101.4%,SIGNIFICANTLY_UNDERVALUED,STRONG_BUY,EXCELLENT,33.4%,N/A,7.24%,0.0%,UNKNOWN,100.0,100.0
AMT,$183.59,$311.13,$248.91,40.993167603167414,41.0%,69.5%,SIGNIFICANTLY_UNDERVALUED,STRONG_BUY,EXCELLENT,21.6%,N/A,6.09%,0.0%,UNKNOWN,98.0,98.0
ADBE,$331.11,$650.79,$520.63,49.12204255051137,49.1%,96.5%,SIGNIFICANTLY_UNDERVALUED,STRONG_BUY,GOOD,15.1%,N/A,7.06%,0.0%,UNKNOWN,92.0,92.0
ABNB,$122.02,$300.00,$240.00,59.3260910602445,59.3%,145.9%,SIGNIFICANTLY_UNDERVALUED,STRONG_BUY,GOOD,16.0%,N/A,8.84%,0.0%,UNKNOWN,84.0,84.0
ADP,$253.09,$327.26,$261.81,22.664289592988617,22.7%,29.3%,SIGNIFICANTLY_UNDERVALUED,STRONG_BUY,GOOD,15.9%,N/A,4.65%,0.0%,UNKNOWN,82.0,82.0
CL,$78.05,$138.54,$117.76,43.66281930835284,43.7%,77.5%,SIGNIFICANTLY_UNDERVALUED,STRONG_BUY,EXCEPTIONAL,85.9%,N/A,6.38%,0.0%,UNKNOWN,80.0,80.0
CDW,$145.08,$238.63,$155.11,39.20184423951656,39.2%,64.5%,SIGNIFICANTLY_UNDERVALUED,STRONG_BUY,ADEQUATE,11.5%,N/A,5.91%,0.0%,UNKNOWN,78.0,78.0
ALLE,$161.25,$246.64,$123.32,34.621448866333516,34.6%,53.0%,UNDERVALUED,BUY,POOR,9.7%,N/A,5.50%,0.0%,UNKNOWN,73.0,73.0
CMG,$31.57,$46.60,$30.29,32.254231250444136,32.3%,47.6%,UNDERVALUED,BUY,ADEQUATE,11.9%,N/A,5.31%,0.0%,UNKNOWN,73.0,73.0
CHRW,$152.80,$206.54,$103.27,26.018596025574915,26.0%,35.2%,UNDERVALUED,BUY,POOR,8.8%,N/A,4.86%,0.0%,UNKNOWN,73.0,73.0
AXP,$357.18,$853.75,$426.87,58.16324759895921,58.2%,139.0%,SIGNIFICANTLY_UNDERVALUED,STRONG_BUY,POOR,9.0%,N/A,8.59%,0.0%,UNKNOWN,70.0,70.0
AWK,$131.62,$290.15,$101.55,54.63752595837992,54.6%,120.4%,UNDERVALUED,BUY,WEAK,3.5%,N/A,7.92%,0.0%,UNKNOWN,67.0,67.0
AMCR,$8.48,$18.39,$6.44,53.89220018323827,53.9%,116.9%,UNDERVALUED,BUY,WEAK,2.2%,N/A,7.80%,0.0%,UNKNOWN,67.0,67.0
ACN,$245.21,$514.77,$180.17,52.36493729282935,52.4%,109.9%,UNDERVALUED,BUY,WEAK,4.5%,N/A,7.55%,0.0%,UNKNOWN,67.0,67.0
ATO,$175.12,$355.20,$124.32,50.697889187688276,50.7%,102.8%,UNDERVALUED,BUY,WEAK,1.4%,N/A,7.29%,0.0%,UNKNOWN,67.0,67.0
